ID,decimalLongitude,decimalLatitude,Log.S.AllGrp,AgrBasMp,WetLndBasMp,Dis2Cost,HII,Slope30mAgg,NDVI,MAT,PrecSea
74,8.162359036,56.31803006,2.540329475,0.673152804,0.118029937,1047.254883,34,0.991594851,0.530444443,8.7,31
75,8.169670368,55.68438777,2.255272505,0.039751679,0.052101064,1394.05249,22,1.934186578,0.678514302,8.943288422,30
77,8.182877548,55.77354752,2.387389826,0,0.01799557,587.996521,18,2.867134333,0.279888898,8.9,30.16041183
78,8.19077075,55.69423108,2.460897843,0.018274928,0,2056.627441,23.11241722,1.383077502,0.635200024,8.90750351,30
79,8.195221696,56.29494446,2.08278537,0.56134057,0.017594671,2523.196045,34,1.1830827,0.536777794,8.7,31
80,8.21282134,55.79507754,2.238046103,0.090220831,0.02821693,2577.430176,34.79541397,2.08688879,0.642888904,8.9,30
81,8.216409166,55.6726212,2.440909082,0.364484191,0.078098461,4832.717285,24.1537838,1.555708289,0.58322221,8.890616608,30
82,8.241796699,55.67383734,2.551449998,0.62298882,0.081760354,5505.385254,30,2.0296278,0.648999989,8.967912292,30
83,8.372399908,56.17065017,2.598790507,0.053162992,0.238718316,12327.82227,28.75466347,2.499476194,0.599777758,8.510478973,30
84,8.378025751,56.16754556,2.432969291,0.053162992,0.238718316,11544.14941,18.82623672,1.244738579,0.599777758,8.6,30
85,8.388856329,56.16729257,2.622214023,0.000201329,0.078820214,12202.01758,18,1.964786053,0.651085734,8.542435455,30
86,8.493946977,56.2452577,2.26245109,0,0.045316916,13908.39453,18.5400219,2.911413908,0.610514283,8.305079651,28.98867607
87,8.507933548,56.24883485,2.371067862,0.047030378,0.056736141,14724.96973,21,3.859211445,0.617555559,8.308548737,28.98412704
88,8.560815489,57.03741516,2.401400541,0.001266906,0.011436398,2762.743408,22,1.886857271,0.574588239,8.545272827,28
89,8.642470696,57.06436271,2.290034611,0,0.028533332,5101.077637,20.17977142,2.52640748,0.615999997,8.493817139,27
92,8.874824156,57.044871,2.416640507,0,0.010066667,5279.021973,22,2.144955158,0.616571426,8.5,26
93,8.897732161,55.1432163,2.541579244,0.384178638,0,13846.6543,23.73745918,1.871895313,0.653333306,8.7,25.41579628
94,8.91187667,57.04493901,2.434568904,0.058515254,0.001268442,4416.36084,22,2.535613537,0.74444443,8.526262665,26
95,8.916948894,57.05073517,2.359835482,0.014520714,0.021831844,5349.822754,26.64200974,2.535613537,0.684571445,8.5,25.7658577
96,8.929984696,57.05433542,2.556302501,0.215620786,0.29342106,5004.952148,23.2089901,1.928463697,0.643777788,8.6,26
97,8.935220188,55.17319834,2.392696953,0,0.017855341,15763.69824,14,2.110010386,0.633333325,8.621538544,25.51353264
98,8.949862276,55.18478471,2.324282455,0.024566667,0.0142,16857.2168,20.90487099,1.995337367,0.662444472,8.6,25
99,8.950998317,55.20709468,2.489958479,0,0.045231663,17434.04883,26,2.332460403,0.707444429,8.6,25
100,8.951189918,57.14458777,2.376576957,0,0,351.9997864,18,1.02737093,0.581555545,8.585152435,25.23327065
101,8.959030055,55.01130816,2.5132176,0.139956057,0.594997108,12149.54883,26,2.105444431,0.610444427,8.8,25
102,8.974026422,55.01528364,2.545307116,0.009552846,0.11361789,12238.45508,26,2.120506048,0.659444451,8.8,25
103,8.984554332,55.01777035,2.436162647,0.339640319,0.364026576,13387.27051,26,2.007204533,0.665000021,8.8,25
104,9.05938754,55.29300077,2.390935107,0.278563142,0.135610506,24663.05664,40,2.274725437,0.587888896,8.579143524,24
105,9.067590023,55.2925393,2.540329475,0.278563142,0.135610506,25642.82227,40,2.652574778,0.59466666,8.674512482,24
106,9.358896311,56.10335589,2.264817823,0,0.046469703,41485.53906,29.50776672,2.279930592,0.617444456,7.9,22
107,9.39829759,56.09298382,2.11058971,0.075547993,0.125547096,39327.00781,35.30273819,2.371912718,0.624555528,7.9,22
108,9.415083839,56.08843609,2.173186268,0.186772645,0.019334756,37914.64844,33.78208542,3.253348827,0.631444454,7.929600525,22
109,9.496242918,56.12617658,2.563481085,0.112446986,0.135721698,37592.89063,21.42073631,8.239809036,0.677257121,8.080091858,21
110,9.527718814,56.13413354,2.474216264,0.016359301,0,37278.45313,43,6.300602913,0.669222236,7.961587524,20.41094017
111,9.545471604,55.66713549,2.45484486,0.156494454,0.011467257,3077.179932,43,2.020238876,0.570777774,8.275177765,21
112,9.62042271,56.16725102,2.298853076,0,0.000808734,37137.57422,38.30612564,4.355699062,0.628222227,8.202658844,21
113,9.63843338,56.07849827,2.477121255,0.089866668,0.008733333,28167.72852,18,7.037745953,0.712333322,7.92652359,21.02395439
114,9.689242409,55.61045139,2.252853031,0.538086295,0.127254009,4626.011719,40.13509369,2.741151571,0.619222224,8.598454285,20.92541695
115,9.693193422,55.60660146,2.212187604,0.385808527,0.307700068,3755.469727,39.40491104,2.024885178,0.560888886,8.683795929,20.15516853
116,9.704436043,56.05325311,2.374748346,0.161283538,0.194674447,23615.67188,18,2.353069067,0.63977778,8.3,20.39866638
118,9.731842491,56.0637403,2.56937391,0.028296296,0.06737037,24445.93164,28,3.099877834,0.634333313,8.28099823,21
119,9.752402726,55.69123564,2.492760389,0.742999971,0,617.7420654,26,4.605628014,0.655888915,8.386043549,21
120,9.800305811,56.82378091,2.572871602,0.451064676,0.005637278,18396.86914,26,6.726554871,0.665371418,8.256324005,21.76687431
121,9.820183908,56.83296931,2.472756449,0.117876083,0.135525614,18582.01953,21.51471329,6.460959911,0.656342864,8.29058075,21.73817635
122,9.835868413,56.81534525,2.44870632,0,0.018847125,17481.8457,18.84584618,4.825584888,0.693714261,7.84072113,20.80228996
124,9.850999917,56.8138236,2.328379603,0.050528646,0.004283034,16858.38281,22.285532,3.698807001,0.71077776,7.936147308,20.02724648
125,9.857507134,55.68390165,2.431363764,0.18567881,0,158.1249542,26,5.407996178,0.630333304,8.343338776,20
126,9.862110474,56.85378561,2.411619706,0.078378379,0,19694.69727,26.29729843,7.844645023,0.688114285,8.013886261,20.75539589
127,9.869621187,55.68895496,2.46686762,0,0,595.7191772,26,4.542185783,0.647111118,8.449120331,20
128,9.879929238,57.51774804,2.522444234,0.006148519,0.000106205,968.8786621,19.34117317,2.194069862,0.600444436,8.4,24.17728233
129,9.922239627,56.89066793,2.399673721,0.330092877,0.011743686,17168.56055,21.0904808,5.715553761,0.635666668,8.308457184,21
130,9.926169346,57.51694352,2.071882007,0.801912665,0.021367753,2654.203613,30,2.392287731,0.630124986,8.4,24.11429405
